Symptoms,0
 Fever/Cough,2
ANC/Antepartum Eclampsia,1
Abdominal Pain,3
Abductor Vocal Cord Palsy,1
Acute Cerebrovascular Accident,1
Acute Cerebrovascular Accident/Massive infarction,1
Acute Kidney Injury,1
Acute Kidney Injury/Hypothyroidism,1
Acute Kidney Injury/Large Mesentic Cyst,1
Acute Kidney Injury/Septic Shock,1
Acute Kidney Injury/Type 2 Diabetes Mellitus,1
Acute Myeloid Leukemia,1
Acute Respiratory distress Syndrome/COVID Pneumonia/Respiratory Failure,1
Acute Right Lower Limb Ischemia/Femoropopliteal Occlusion,1
Altered Sensorium,2
Anemia,5
Antenatal mother/Placenta previa,1
Arthritis,1
Asymptomatic,2055
Autoimmune Hemolytic Anemia/Type 2 Diabetes Mellitus,1
Body Pain,1
Body Pain/Cold,1
Body Pain/Cough,1
Body Pain/Fever/Severe Cough,1
Body Pain/Headache,1
Breathing Difficulty,224
Breathing Difficulty ,28
Breathing Difficulty/Body Pain,2
Breathing Difficulty/Body Pain/Loose stools,1
Breathing Difficulty/Body Pain/Vomiting,1
Breathing Difficulty/Chest Pain,2
Breathing Difficulty/Cough,5
Breathing Difficulty/Fever,2
Breathing Difficulty/Fever/Body Pain,1
Breathing Difficulty/Fever/Cough,2
Breathing Difficulty/Loss of smell,1
Breathing Difficulty/Mild Cough,1
Breathing Difficulty/Myalgia,3
Breathing Difficulty/Side facial Swelling,1
Breathing Difficulty/chest Pain,1
Breathlessness,13
Breathlessness ,1
Breathlessness/Cough,2
Breathlessness/Fever/Breathing Difficulty,1
Breathlessness/Fever/Cough,1
Breathlessness/Fever/Myalgia,1
Bronchial Asthma,19
Bronchial Asthma/Acute Kidney Injury,1
Bronchial Asthma/Systemic Hypertension,3
Bronchial Asthma/Type 2 Diabetes Mellitus,2
Bronchial Asthma/Type 2 Diabetes Mellitus/Hypothyroidism,1
Bronchial Asthma/Type 2 Diabetes Mellitus/seizure,1
Bronchial Asthma/parkinsonism,1
Bronchial asthma,2
Bronchopneumonia/AIK Leak,1
Cancer Breast,1
Cancer Breast on Chemotherapy,1
Cancer Cervix ( Sqnamom Cell Carcinoma ),1
Carcinoma Breast/Hypertension,1
Carcinoma Cervix,1
Carcinoma Maxilla,1
Carcinoma Tongue/Type 2 Diabetes Mellitus/Systemic Hypertension,1
Cardio Respiratory Arrest/Type 2 Diabetes Mellitus,1
Cerebrovascular Accident,5
Cerebrovascular Accident/Chronic Kidney Disease,2
Cerebrovascular Accident/Ischemic Stroke,1
Cerebrovascular Accident/Systemic Hypertension,2
Chest Pain,1
Chronic Kidney Disease,28
Chronic Kidney Disease/Coronary Artery Disease,1
Chronic Kidney Disease/Coronary Artery Disease/Type 2 Diabetes Mellitus/Systemic Hypertension,1
Chronic Kidney Disease/Diabetes Mellitus,4
Chronic Kidney Disease/Diabetes Mellitus/Rheumatoid Arthritis,1
Chronic Kidney Disease/Diabetes Mellitus/Systemic Hypertension,1
Chronic Kidney Disease/Diabetes mellitus,1
Chronic Kidney Disease/Hypertension,1
Chronic Kidney Disease/Polio/Pulmonary Hypertension,1
Chronic Kidney Disease/Systemic Hypertension,9
Chronic Kidney Disease/Systemic Hypertension/Heart Disease,1
Chronic Kidney Disease/Systemic Hypertension/Type 2 Diabetes Mellitus,2
Chronic Kidney Disease/Systemic Hypertension/Type 2 Diabetes Mellitus/Hypothyroidism,1
Chronic Kidney Disease/Type 2 Diabetes Mellitus,2
Chronic Kidney Disease/Type 2 Diabetes Mellitus/Systemic Hypertension,3
Chronic Kidney disease,3
Chronic Kidney disease/Decompensated Chronic Liver Disease,1
Chronic Liver Disease/Post Liver Transplantation,1
Chronic Myeloid Leukemia,3
Chronic Obstructive Pulmonary Disease,4
Chronic Obstructive Pulmonary disease,1
Congestive Cardiac Failure,1
Coronary Artery Disease,33
Coronary Artery Disease/Acute Coronary Syndrome/Type 2 Diabetes Mellitus,1
Coronary Artery Disease/Cerebrovascular Accident/Diabetes Mellitus/Systemic Hypertension,1
Coronary Artery Disease/Diabetes Mellitus,3
Coronary Artery Disease/Diabetes Mellitus/Hypothyroidism,1
Coronary Artery Disease/Diabetes Mellitus/Systemic Hypertension,1
Coronary Artery Disease/Hypertension,1
Coronary Artery Disease/Multiple Myeloma/Pericardial Effusion/Restrictive Cardiomyopathy/Sick Sinusyndrome,1
Coronary Artery Disease/Systemic Hypertension,4
Coronary Artery Disease/Systemic Hypertension/Diabetes Mellitus,1
Coronary Artery Disease/Traumatic Paraplegia,1
Coronary Artery Disease/Type 2 Diabetes Mellitus,8
Coronary Artery Disease/Type 2 Diabetes Mellitus/Systemic Hypertension,1
Coronary Artery disease,1
Coronary Artery disease/Acute Kidney Injury/Type 2 Diabetes Mellitus,1
Coronary Artery disease/Chronic Kidney Disease/Systemic Hypertension,1
Coronary Artery disease/Diabetes Mellitus,1
Coronary Artery disease/Type 2 Diabetes Mellitus/Systemic Hypertension,1
Cough,92
Cough ,7
Cough/Altered Sensorium ,1
Cough/Body Pain/Breathing Difficulty,1
Cough/Breathing Difficulty,288
Cough/Breathing Difficulty ,29
Cough/Breathing Difficulty/Fever/Loose stools,1
Cough/Breathing Difficulty/Headache/Abdominal discomfort,1
Cough/Breathing Difficulty/Loose stools ,1
Cough/Breathing Difficulty/Myalgia,1
Cough/Breathing Difficulty/Vomiting,2
Cough/Breathing Difficulty/general tiredness,1
Cough/Breathlessness,9
Cough/Breathlessness ,3
Cough/Breathlessness/Fever,1
Cough/Cold,2
Cough/Cold/Breathing Difficulty,4
Cough/Cold/Breathing Difficulty ,1
Cough/Cold/Breathing Difficulty/Loose stools ,1
Cough/Cold/Fever/Breathlessness,1
Cough/Drowsiness ,1
Cough/Fever,3
Cough/Fever/Breathing Difficulty,4
Cough/Fever/Breathlessness,1
Cough/Fever/breathlessness,1
Cough/Headache,1
Cough/Headache/Myalgia,1
Cough/Loose stools/Loss of Appetite,1
Cough/Myalgia,8
Cough/Myalgia/Headache,1
Cough/Myalgia/Throat Pain,1
Cough/Shortness of Breath,1
Cough/Shortness of breath,1
Cough/Sore throat,2
Cough/Tiredness/Body Pain,1
Cough/body Pain,1
Cough/breathlessness,9
Cough/breathlessness ,3
Cough/fever/Breathing Difficulty,1
Cough/general Tiredness,1
Cough/headache/body Pain/loose stools,1
Cough/headache/myalgia,1
Cough/loss of smell/Myalgia,1
Cough/myalgia,2
Cough/myalgia/Breathing Difficulty,1
Cough/tiredness,1
Cough/tiredness/Breathing Difficulty/loose stools,1
Decompensated Chronic Liver Disease,2
Decompensated Chronic Liver Disease/Hypertension/Coronary Artery Disease,1
Decompensated Liver Disease/Severe Anemia,1
Depression,1
Diabetes,1
Diabetes Mellitus,192
Diabetes Mellitus/Acute Cerebrovascular Accident,1
Diabetes Mellitus/Acute Kidney Injury,1
Diabetes Mellitus/Bronchial Asthma,1
Diabetes Mellitus/Bronchial Asthma/Coronary Artery Disease,1
Diabetes Mellitus/Bronchial Asthma/Epilepsy,1
Diabetes Mellitus/Bronchial Asthma/seizure,1
Diabetes Mellitus/Chronic Kidney Disease,4
Diabetes Mellitus/Chronic Kidney Disease/Coronary Artery Disease,1
Diabetes Mellitus/Coronary Artery Disease,7
Diabetes Mellitus/Hypertension,37
Diabetes Mellitus/Hypertension/Acute Kidney Injury,1
Diabetes Mellitus/Hypertension/Chronic Kidney Disease,2
Diabetes Mellitus/Hypertension/Chronic Obstructive Pulmonary Disease,1
Diabetes Mellitus/Hypertension/Coronary Artery Disease,1
Diabetes Mellitus/Hypertension/Tuberculosis Meningitis,1
Diabetes Mellitus/Hypothyroidism,6
Diabetes Mellitus/Hypothyroidism/Bipolar Disorder,1
Diabetes Mellitus/Morbid Obesity,1
Diabetes Mellitus/Myocardial infarction,1
Diabetes Mellitus/Old Pulmonary Tuberculosis,1
Diabetes Mellitus/Pulmonary Tuberculosis,1
Diabetes Mellitus/Rheumatic Heart Disease/Mitral Stenosis,1
Diabetes Mellitus/Rheumatoid Arthritis,1
Diabetes Mellitus/Systemic Hypertension,68
Diabetes Mellitus/Systemic Hypertension/Bronchial Asthma/seizure/Chronic Kidney Disease,1
Diabetes Mellitus/Systemic Hypertension/Cerebrovascular Accident,1
Diabetes Mellitus/Systemic Hypertension/Chronic Kidney Disease,5
Diabetes Mellitus/Systemic Hypertension/Coronary Artery Disease,7
Diabetes Mellitus/Systemic Hypertension/Coronary Artery Disease/Chronic Kidney Disease,1
Diabetes Mellitus/Systemic Hypertension/Coronary Artery Disease/Renal Failure,1
