Ariyalur,4820,4735,36,49,01/04/2021
Chengalpattu,56602,53965,1817,820,01/04/2021
Chennai,250000,239056,6695,4249,01/04/2021
Coimbatore,59247,56836,1717,694,01/04/2021
Cuddalore,25746,25162,292,292,01/04/2021
Dharmapuri,6783,6677,51,55,01/04/2021
Dindigul,11906,11540,164,202,01/04/2021
Erode,15384,15037,197,150,01/04/2021
Kallakurichi,10961,10829,24,108,01/04/2021
Kancheepuram,30704,29743,501,460,01/04/2021
Kanyakumari,17568,17089,216,263,01/04/2021
Karur,5658,5546,60,52,01/04/2021
Krishnagiri,8499,8217,163,119,01/04/2021
Madurai,21859,21075,318,466,01/04/2021
Nagapattinam,9213,8724,347,142,01/04/2021
Namakkal,12131,11866,154,111,01/04/2021
Nilgiris,8686,8498,138,50,01/04/2021
Perambalur,2308,2280,7,21,01/04/2021
Pudukottai,11891,11627,104,160,01/04/2021
Ramanathapuram,6562,6382,42,138,01/04/2021
Ranipet,16490,16156,144,190,01/04/2021
Salem,33539,32765,306,468,01/04/2021
Sivagangai,7016,6770,119,127,01/04/2021
Tenkasi,8731,8476,94,161,01/04/2021
Thanjavur,19856,19015,569,272,01/04/2021
Theni,17312,17049,56,207,01/04/2021
Thirupathur,7821,7607,86,128,01/04/2021
Thiruvallur,46223,44847,663,713,01/04/2021
Thiruvannamalai,19706,19342,79,285,01/04/2021
Thiruvarur,12064,11565,384,115,01/04/2021
Thoothukudi,16571,16310,118,143,01/04/2021
Tirunelveli,16156,15719,221,216,01/04/2021
Tiruppur,19384,18762,396,226,01/04/2021
Trichy,15684,15115,384,185,01/04/2021
Vellore,21532,20971,207,354,01/04/2021
Villupuram,15533,15309,111,113,01/04/2021
Virudhunagar,16885,16607,46,232,01/04/2021
AirportSurveillance(International),974,966,7,1,01/04/2021
AirportSurveillance(Domestic),1057,1046,10,1,01/04/2021
RailwaySurveillance,428,428,0,0,01/04/2021
Ariyalur,4829,4742,38,49,02/04/2021
Chengalpattu,56891,54123,1948,820,02/04/2021
Chennai,251141,239724,7161,4256,02/04/2021
Coimbatore,59529,56972,1863,694,02/04/2021
Cuddalore,25805,25194,319,292,02/04/2021
Dharmapuri,6789,6682,52,55,02/04/2021
Dindigul,11955,11558,195,202,02/04/2021
Erode,15425,15062,213,150,02/04/2021
Kallakurichi,10973,10836,29,108,02/04/2021
Kancheepuram,30818,29844,513,461,02/04/2021
Kanyakumari,17609,17112,233,264,02/04/2021
Karur,5670,5553,65,52,02/04/2021
Krishnagiri,8546,8233,194,119,02/04/2021
Madurai,21964,21108,390,466,02/04/2021
Nagapattinam,9271,8741,388,142,02/04/2021
Namakkal,12149,11880,158,111,02/04/2021
Nilgiris,8708,8514,144,50,02/04/2021
Perambalur,2309,2281,7,21,02/04/2021
Pudukottai,11910,11634,116,160,02/04/2021
Ramanathapuram,6575,6387,50,138,02/04/2021
Ranipet,16517,16165,162,190,02/04/2021
Salem,33590,32819,303,468,02/04/2021
Sivagangai,7045,6780,138,127,02/04/2021
Tenkasi,8749,8483,104,162,02/04/2021
Thanjavur,19976,19065,639,272,02/04/2021
Theni,17322,17055,60,207,02/04/2021
Thirupathur,7846,7616,102,128,02/04/2021
Thiruvallur,46416,44955,748,713,02/04/2021
Thiruvannamalai,19726,19357,83,286,02/04/2021
Thiruvarur,12136,11597,424,115,02/04/2021
Thoothukudi,16592,16314,135,143,02/04/2021
Tirunelveli,16236,15725,295,216,02/04/2021
Tiruppur,19465,18801,438,226,02/04/2021
Trichy,15811,15145,480,186,02/04/2021
Vellore,21569,20996,219,354,02/04/2021
Villupuram,15561,15314,134,113,02/04/2021
Virudhunagar,16897,16617,48,232,02/04/2021
AirportSurveillance(International),975,966,8,1,02/04/2021
AirportSurveillance(Domestic),1057,1046,10,1,02/04/2021
RailwaySurveillance,428,428,0,0,02/04/2021
Ariyalur,4838,4748,41,49,03/04/2021
Chengalpattu,57176,54290,2064,822,03/04/2021
Chennai,252431,240454,7713,4264,03/04/2021
Coimbatore,59821,57120,2007,694,03/04/2021
Cuddalore,25880,25237,351,292,03/04/2021
Dharmapuri,6806,6686,65,55,03/04/2021
Dindigul,11973,11584,187,202,03/04/2021
Erode,15474,15088,236,150,03/04/2021
Kallakurichi,10982,10838,36,108,03/04/2021
Kancheepuram,30959,29938,559,462,03/04/2021
Kanyakumari,17644,17139,241,264,03/04/2021
Karur,5688,5562,74,52,03/04/2021
Krishnagiri,8593,8245,229,119,03/04/2021
Madurai,22030,21134,429,467,03/04/2021
Nagapattinam,9334,8769,422,143,03/04/2021
Namakkal,12176,11896,169,111,03/04/2021
Nilgiris,8727,8528,149,50,03/04/2021
Perambalur,2311,2281,9,21,03/04/2021
Pudukottai,11925,11647,118,160,03/04/2021
Ramanathapuram,6584,6393,53,138,03/04/2021
Ranipet,16541,16172,179,190,03/04/2021
Salem,33652,32843,341,468,03/04/2021
Sivagangai,7063,6792,144,127,03/04/2021
Tenkasi,8766,8487,118,161,03/04/2021
Thanjavur,20114,19128,713,273,03/04/2021
Theni,17334,17058,69,207,03/04/2021
Thirupathur,7869,7627,114,128,03/04/2021
Thiruvallur,46617,45058,845,714,03/04/2021
Thiruvannamalai,19763,19369,108,286,03/04/2021
Thiruvarur,12209,11649,445,115,03/04/2021
Thoothukudi,16614,16322,149,143,03/04/2021
Tirunelveli,16274,15733,325,216,03/04/2021
Tiruppur,19544,18851,467,226,03/04/2021
Trichy,15953,15185,582,186,03/04/2021
Vellore,21601,21023,224,354,03/04/2021
Villupuram,15587,15322,152,113,03/04/2021
Virudhunagar,16912,16622,58,232,03/04/2021
AirportSurveillance(International),975,966,8,1,03/04/2021
AirportSurveillance(Domestic),1058,1046,11,1,03/04/2021
RailwaySurveillance,428,428,0,0,03/04/2021
