Ariyalur,15794,15343,215,236,01/08/2021
Chengalpattu,162096,158550,1143,2403,01/08/2021
Chennai,538326,528333,1675,8318,01/08/2021
Coimbatore,229583,225444,1961,2178,01/08/2021
Cuddalore,60514,58956,747,811,01/08/2021
Dharmapuri,26137,25549,353,235,01/08/2021
Dindigul,32206,31385,199,622,01/08/2021
Erode,93873,91717,1523,633,01/08/2021
Kallakurichi,29117,28428,491,198,01/08/2021
Kancheepuram,71751,70112,435,1204,01/08/2021
Kanyakumari,60131,58742,369,1020,01/08/2021
Karur,22655,22148,156,351,01/08/2021
Krishnagiri,41393,40747,324,322,01/08/2021
Madurai,73516,72094,277,1145,01/08/2021
Mayiladuthurai,21058,20493,296,269,01/08/2021
Nagapattinam,18698,18008,401,289,01/08/2021
Namakkal,47264,46218,595,451,01/08/2021
Nilgiris,30573,29852,542,179,01/08/2021
Perambalur,11490,11152,115,223,01/08/2021
Pudukottai,28156,27455,336,365,01/08/2021
Ramanathapuram,20044,19557,138,349,01/08/2021
Ranipet,41982,40981,259,742,01/08/2021
Salem,93478,90826,1094,1558,01/08/2021
Sivagangai,18812,18305,310,197,01/08/2021
Tenkasi,26861,26231,150,480,01/08/2021
Thanjavur,67981,66048,1085,848,01/08/2021
Theni,42937,42270,153,514,01/08/2021
Thirupathur,28262,27409,252,601,01/08/2021
Thiruvallur,113535,111024,758,1753,01/08/2021
Thiruvannamalai,52099,50837,624,638,01/08/2021
Thiruvarur,37878,37148,363,367,01/08/2021
Thoothukudi,55095,54467,233,395,01/08/2021
Tirunelveli,47917,47157,332,428,01/08/2021
Tiruppur,87895,86095,964,836,01/08/2021
Trichy,72491,70811,714,966,01/08/2021
Vellore,48081,46653,333,1095,01/08/2021
Villupuram,43878,43139,398,341,01/08/2021
Virudhunagar,45511,44764,207,540,01/08/2021
AirportSurveillance(International),1013,1010,2,1,01/08/2021
AirportSurveillance(Domestic),1078,1075,2,1,01/08/2021
RailwaySurveillance,428,428,0,0,01/08/2021
Ariyalur,15817,15362,219,236,02/08/2021
Chengalpattu,162215,158647,1163,2405,02/08/2021
Chennai,538521,528465,1735,8321,02/08/2021
Coimbatore,229804,225618,2008,2178,02/08/2021
Cuddalore,60573,59031,731,811,02/08/2021
Dharmapuri,26165,25575,355,235,02/08/2021
Dindigul,32222,31407,192,623,02/08/2021
Erode,94042,91841,1568,633,02/08/2021
Kallakurichi,29160,28481,481,198,02/08/2021
Kancheepuram,71797,70154,439,1204,02/08/2021
Kanyakumari,60158,58788,350,1020,02/08/2021
Karur,22669,22169,149,351,02/08/2021
Krishnagiri,41424,40787,315,322,02/08/2021
Madurai,73540,72130,265,1145,02/08/2021
Mayiladuthurai,21088,20531,288,269,02/08/2021
Nagapattinam,18729,18043,397,289,02/08/2021
Namakkal,47315,46283,581,451,02/08/2021
Nilgiris,30617,29905,532,180,02/08/2021
Perambalur,11497,11166,108,223,02/08/2021
Pudukottai,28180,27494,319,367,02/08/2021
Ramanathapuram,20052,19570,132,350,02/08/2021
Ranipet,41998,41010,246,742,02/08/2021
Salem,93562,90939,1061,1562,02/08/2021
Sivagangai,18836,18353,286,197,02/08/2021
Tenkasi,26868,26242,146,480,02/08/2021
Thanjavur,68102,66190,1064,848,02/08/2021
Theni,42952,42285,153,514,02/08/2021
Thirupathur,28289,27437,251,601,02/08/2021
Thiruvallur,113622,111092,774,1756,02/08/2021
Thiruvannamalai,52140,50899,603,638,02/08/2021
Thiruvarur,37921,37172,379,370,02/08/2021
Thoothukudi,55118,54494,228,396,02/08/2021
Tirunelveli,47935,47188,319,428,02/08/2021
Tiruppur,87985,86211,933,841,02/08/2021
Trichy,72567,70899,700,968,02/08/2021
Vellore,48111,46685,331,1095,02/08/2021
Villupuram,43907,43183,383,341,02/08/2021
Virudhunagar,45525,44790,195,540,02/08/2021
AirportSurveillance(International),1015,1010,4,1,02/08/2021
AirportSurveillance(Domestic),1078,1075,2,1,02/08/2021
RailwaySurveillance,428,428,0,0,02/08/2021
Ariyalur,15834,15377,221,236,03/08/2021
Chengalpattu,162336,158746,1183,2407,03/08/2021
Chennai,538727,528603,1802,8322,03/08/2021
Coimbatore,230012,225787,2043,2182,03/08/2021
Cuddalore,60652,59099,740,813,03/08/2021
Dharmapuri,26188,25604,349,235,03/08/2021
