Ariyalur,16926,16643,19,264,01/12/2021
Chengalpattu,173841,170673,634,2534,01/12/2021
Chennai,558148,548357,1180,8611,01/12/2021
Coimbatore,250297,246594,1237,2466,01/12/2021
Cuddalore,64406,63457,77,872,01/12/2021
Dharmapuri,28820,28423,119,278,01/12/2021
Dindigul,33239,32539,49,651,01/12/2021
Erode,106376,104883,797,696,01/12/2021
Kallakurichi,31561,31315,36,210,01/12/2021
Kancheepuram,75618,74154,200,1264,01/12/2021
Kanyakumari,62789,61622,110,1057,01/12/2021
Karur,24635,24086,187,362,01/12/2021
Krishnagiri,43848,43408,87,353,01/12/2021
Madurai,75524,74244,97,1183,01/12/2021
Mayiladuthurai,23375,23027,30,318,01/12/2021
Nagapattinam,21340,20892,91,357,01/12/2021
Namakkal,53534,52544,484,506,01/12/2021
Nilgiris,34108,33708,186,214,01/12/2021
Perambalur,12105,11848,12,245,01/12/2021
Pudukottai,30330,29884,28,418,01/12/2021
Ramanathapuram,20633,20247,27,359,01/12/2021
Ranipet,43561,42751,35,775,01/12/2021
Salem,101392,99187,499,1706,01/12/2021
Sivagangai,20397,20135,52,210,01/12/2021
Tenkasi,27394,26898,10,486,01/12/2021
Thanjavur,76115,74900,219,996,01/12/2021
Theni,43606,43073,12,521,01/12/2021
Thirupathur,29394,28742,25,627,01/12/2021
Thiruvallur,120231,118095,286,1850,01/12/2021
Thiruvannamalai,55192,54469,53,670,01/12/2021
Thiruvarur,41873,41321,94,458,01/12/2021
Thoothukudi,56496,56051,35,410,01/12/2021
Tirunelveli,49661,49131,97,433,01/12/2021
Tiruppur,97230,95621,609,1000,01/12/2021
Trichy,78466,77128,254,1084,01/12/2021
Vellore,50210,48911,158,1141,01/12/2021
Villupuram,46023,45617,49,357,01/12/2021
Virudhunagar,46397,45825,24,548,01/12/2021
AirportSurveillance(International),1031,1028,2,1,01/12/2021
AirportSurveillance(Domestic),1085,1084,0,1,01/12/2021
RailwaySurveillance,428,428,0,0,01/12/2021
Ariyalur,16927,16644,19,264,02/12/2021
Chengalpattu,173901,170738,629,2534,02/12/2021
Chennai,558260,548476,1171,8613,02/12/2021
Coimbatore,250420,246702,1249,2469,02/12/2021
Cuddalore,64410,63464,74,872,02/12/2021
Dharmapuri,28828,28439,110,279,02/12/2021
Dindigul,33244,32544,49,651,02/12/2021
Erode,106440,104954,788,698,02/12/2021
Kallakurichi,31564,31319,35,210,02/12/2021
Kancheepuram,75638,74169,205,1264,02/12/2021
Kanyakumari,62798,61634,107,1057,02/12/2021
Karur,24645,24103,180,362,02/12/2021
Krishnagiri,43860,43417,90,353,02/12/2021
Madurai,75529,74252,94,1183,02/12/2021
Mayiladuthurai,23378,23028,32,318,02/12/2021
Nagapattinam,21345,20903,85,357,02/12/2021
Namakkal,53582,52580,494,508,02/12/2021
Nilgiris,34121,33722,185,214,02/12/2021
Perambalur,12106,11848,13,245,02/12/2021
Pudukottai,30334,29886,30,418,02/12/2021
Ramanathapuram,20634,20250,25,359,02/12/2021
Ranipet,43567,42752,40,775,02/12/2021
Salem,101437,99228,503,1706,02/12/2021
Sivagangai,20403,20139,54,210,02/12/2021
Tenkasi,27394,26898,10,486,02/12/2021
Thanjavur,76128,74922,209,997,02/12/2021
Theni,43607,43073,13,521,02/12/2021
Thirupathur,29396,28743,26,627,02/12/2021
Thiruvallur,120258,118118,290,1850,02/12/2021
Thiruvannamalai,55197,54475,52,670,02/12/2021
Thiruvarur,41878,41334,86,458,02/12/2021
Thoothukudi,56499,56054,35,410,02/12/2021
Tirunelveli,49665,49141,91,433,02/12/2021
Tiruppur,97284,95680,604,1000,02/12/2021
Trichy,78480,77153,243,1084,02/12/2021
Vellore,50223,48922,160,1141,02/12/2021
Villupuram,46025,45620,48,357,02/12/2021
Virudhunagar,46401,45827,25,549,02/12/2021
AirportSurveillance(International),1031,1028,2,1,02/12/2021
AirportSurveillance(Domestic),1085,1084,0,1,02/12/2021
RailwaySurveillance,428,428,0,0,02/12/2021
Ariyalur,16928,16647,17,264,03/12/2021
Chengalpattu,173962,170795,633,2534,03/12/2021
Chennai,558382,548598,1170,8614,03/12/2021
Coimbatore,250550,246813,1267,2470,03/12/2021
Cuddalore,64416,63469,75,872,03/12/2021
Dharmapuri,28837,28453,105,279,03/12/2021
Dindigul,33249,32550,48,651,03/12/2021
Erode,106492,105018,776,698,03/12/2021
Kallakurichi,31564,31326,28,210,03/12/2021
Kancheepuram,75655,74185,205,1265,03/12/2021
Kanyakumari,62808,61647,104,1057,03/12/2021
Karur,24657,24118,177,362,03/12/2021
Krishnagiri,43871,43427,91,353,03/12/2021
Madurai,75538,74264,91,1183,03/12/2021
Mayiladuthurai,23379,23030,31,318,03/12/2021
Nagapattinam,21351,20911,83,357,03/12/2021
Namakkal,53629,52622,499,508,03/12/2021
Nilgiris,34131,33739,177,215,03/12/2021
Perambalur,12107,11850,12,245,03/12/2021
Pudukottai,30337,29890,29,418,03/12/2021
Ramanathapuram,20637,20256,22,359,03/12/2021
Ranipet,43575,42753,47,775,03/12/2021
Salem,101479,99263,507,1709,03/12/2021
Sivagangai,20408,20144,54,210,03/12/2021
Tenkasi,27394,26899,9,486,03/12/2021
Thanjavur,76141,74945,199,997,03/12/2021
Theni,43608,43075,12,521,03/12/2021
Thirupathur,29395,28744,24,627,03/12/2021
Thiruvallur,120286,118143,293,1850,03/12/2021
Thiruvannamalai,55206,54484,52,670,03/12/2021
Thiruvarur,41883,41341,83,459,03/12/2021
Thoothukudi,56500,56059,30,411,03/12/2021
Tirunelveli,49668,49152,83,433,03/12/2021
Tiruppur,97338,95734,604,1000,03/12/2021
Trichy,78495,77180,231,1084,03/12/2021
Vellore,50230,48932,157,1141,03/12/2021
Villupuram,46029,45624,48,357,03/12/2021
Virudhunagar,46401,45830,22,549,03/12/2021
AirportSurveillance(International),1032,1028,3,1,03/12/2021
AirportSurveillance(Domestic),1085,1084,0,1,03/12/2021
RailwaySurveillance,428,428,0,0,03/12/2021
Ariyalur,16929,16649,16,264,04/12/2021
Chengalpattu,174022,170856,632,2534,04/12/2021
Chennai,558511,548722,1175,8614,04/12/2021
Coimbatore,250681,246926,1284,2471,04/12/2021
Cuddalore,64421,63475,74,872,04/12/2021
Dharmapuri,28845,28463,103,279,04/12/2021
Dindigul,33253,32553,49,651,04/12/2021
Erode,106549,105080,770,699,04/12/2021
Kallakurichi,31566,31330,26,210,04/12/2021
Kancheepuram,75674,74196,213,1265,04/12/2021
Kanyakumari,62820,61661,102,1057,04/12/2021
Karur,24672,24134,176,362,04/12/2021
Krishnagiri,43879,43434,92,353,04/12/2021
Madurai,75546,74273,90,1183,04/12/2021
Mayiladuthurai,23379,23032,29,318,04/12/2021
Nagapattinam,21356,20924,75,357,04/12/2021
Namakkal,53674,52670,495,509,04/12/2021
Nilgiris,34142,33758,168,216,04/12/2021
Perambalur,12109,11851,13,245,04/12/2021
Pudukottai,30339,29893,28,418,04/12/2021
Ramanathapuram,20637,20258,20,359,04/12/2021
Ranipet,43579,42758,46,775,04/12/2021
Salem,101520,99300,510,1710,04/12/2021
Sivagangai,20415,20148,57,210,04/12/2021
Tenkasi,27394,26901,7,486,04/12/2021
Thanjavur,76154,74970,186,998,04/12/2021
Theni,43609,43076,12,521,04/12/2021
Thirupathur,29396,28746,23,627,04/12/2021
Thiruvallur,120312,118164,298,1850,04/12/2021
Thiruvannamalai,55209,54492,47,670,04/12/2021
Thiruvarur,41893,41351,83,459,04/12/2021
Thoothukudi,56504,56062,31,411,04/12/2021
Tirunelveli,49670,49164,73,433,04/12/2021
Tiruppur,97388,95783,605,1000,04/12/2021
Trichy,78520,77204,232,1084,04/12/2021
Vellore,50244,48947,156,1141,04/12/2021
Villupuram,46032,45627,48,357,04/12/2021
Virudhunagar,46403,45831,23,549,04/12/2021
AirportSurveillance(International),1033,1029,3,1,04/12/2021
AirportSurveillance(Domestic),1085,1084,0,1,04/12/2021
RailwaySurveillance,428,428,0,0,04/12/2021
Ariyalur,16929,16649,16,264,05/12/2021
Chengalpattu,174084,170915,635,2534,05/12/2021
Chennai,558637,548838,1183,8616,05/12/2021
