Ariyalur,4694,4628,17,49,01/02/2021
Chengalpattu,51579,50512,299,768,01/02/2021
Chennai,231424,225729,1586,4109,01/02/2021
Coimbatore,54444,53351,422,671,01/02/2021
Cuddalore,24940,24606,49,285,01/02/2021
Dharmapuri,6587,6506,27,54,01/02/2021
Dindigul,11268,10984,85,199,01/02/2021
Erode,14384,14049,185,150,01/02/2021
Kallakurichi,10875,10759,8,108,01/02/2021
Kancheepuram,29265,28693,133,439,01/02/2021
Kanyakumari,16838,16467,114,257,01/02/2021
Karur,5400,5320,30,50,01/02/2021
Krishnagiri,8077,7920,40,117,01/02/2021
Madurai,21011,20458,96,457,01/02/2021
Nagapattinam,8450,8256,62,132,01/02/2021
Namakkal,11646,11435,100,111,01/02/2021
Nilgiris,8210,8109,54,47,01/02/2021
Perambalur,2267,2239,7,21,01/02/2021
Pudukottai,11569,11375,38,156,01/02/2021
Ramanathapuram,6414,6265,12,137,01/02/2021
Ranipet,16125,15896,42,187,01/02/2021
Salem,32428,31839,123,466,01/02/2021
Sivagangai,6660,6509,25,126,01/02/2021
Tenkasi,8429,8233,38,158,01/02/2021
Thanjavur,17697,17376,74,247,01/02/2021
Theni,17078,16849,24,205,01/02/2021
Thirupathur,7579,7430,23,126,01/02/2021
Thiruvallur,43563,42733,139,691,01/02/2021
Thiruvannamalai,19362,19047,32,283,01/02/2021
Thiruvarur,11201,11035,57,109,01/02/2021
Thoothukudi,16277,16099,37,141,01/02/2021
Tirunelveli,15577,15300,64,213,01/02/2021
Tiruppur,17920,17488,211,221,01/02/2021
Trichy,14687,14403,104,180,01/02/2021
Vellore,20751,20299,104,348,01/02/2021
Villupuram,15191,15039,40,112,01/02/2021
Virudhunagar,16569,16315,23,231,01/02/2021
AirportSurveillance(International),940,937,2,1,01/02/2021
AirportSurveillance(Domestic),1038,1031,6,1,01/02/2021
RailwaySurveillance,428,428,0,0,01/02/2021
Ariyalur,4698,4629,20,49,02/02/2021
Chengalpattu,51607,50544,295,768,02/02/2021
Chennai,231563,225869,1584,4110,02/02/2021
Coimbatore,54500,53407,422,671,02/02/2021
Cuddalore,24942,24611,46,285,02/02/2021
Dharmapuri,6593,6510,29,54,02/02/2021
Dindigul,11274,10994,81,199,02/02/2021
Erode,14410,14078,182,150,02/02/2021
Kallakurichi,10878,10759,11,108,02/02/2021
Kancheepuram,29281,28708,134,439,02/02/2021
Kanyakumari,16847,16488,101,258,02/02/2021
Karur,5406,5323,33,50,02/02/2021
Krishnagiri,8082,7925,40,117,02/02/2021
Madurai,21025,20471,97,457,02/02/2021
Nagapattinam,8455,8264,59,132,02/02/2021
Namakkal,11659,11451,97,111,02/02/2021
Nilgiris,8215,8115,53,47,02/02/2021
Perambalur,2267,2240,6,21,02/02/2021
Pudukottai,11574,11378,40,156,02/02/2021
Ramanathapuram,6416,6268,11,137,02/02/2021
Ranipet,16131,15902,42,187,02/02/2021
Salem,32445,31850,129,466,02/02/2021
Sivagangai,6665,6515,23,127,02/02/2021
Tenkasi,8431,8239,33,159,02/02/2021
Thanjavur,17715,17382,86,247,02/02/2021
Theni,17081,16851,25,205,02/02/2021
Thirupathur,7582,7434,22,126,02/02/2021
Thiruvallur,43594,42749,154,691,02/02/2021
Thiruvannamalai,19365,19052,30,283,02/02/2021
Thiruvarur,11206,11045,52,109,02/02/2021
Thoothukudi,16280,16113,26,141,02/02/2021
Tirunelveli,15590,15308,69,213,02/02/2021
Tiruppur,17943,17512,210,221,02/02/2021
Trichy,14699,14411,108,180,02/02/2021
Vellore,20759,20310,101,348,02/02/2021
