Ariyalur,14906,14221,472,213,01/07/2021
Chengalpattu,157085,152827,1897,2361,01/07/2021
Chennai,532759,521637,2931,8191,01/07/2021
Coimbatore,220005,214149,3805,2051,01/07/2021
Cuddalore,58071,56344,964,763,01/07/2021
Dharmapuri,24605,23537,860,208,01/07/2021
Dindigul,31658,30715,351,592,01/07/2021
Erode,89934,85260,4080,594,01/07/2021
Kallakurichi,27193,26005,994,194,01/07/2021
Kancheepuram,70342,68460,704,1178,01/07/2021
Kanyakumari,59047,57507,552,988,01/07/2021
Karur,22077,21300,435,342,01/07/2021
Krishnagiri,39986,38641,1039,306,01/07/2021
Madurai,72377,70583,685,1109,01/07/2021
Mayiladuthurai,20177,19650,275,252,01/07/2021
Nagapattinam,17820,17291,261,268,01/07/2021
Namakkal,44810,42736,1656,418,01/07/2021
Nilgiris,28443,27569,710,164,01/07/2021
Perambalur,11089,10612,276,201,01/07/2021
Pudukottai,27042,26099,621,322,01/07/2021
Ramanathapuram,19640,19073,233,334,01/07/2021
Ranipet,40970,39578,669,723,01/07/2021
Salem,88205,85043,1685,1477,01/07/2021
Sivagangai,17751,16934,626,191,01/07/2021
Tenkasi,26422,25691,266,465,01/07/2021
Thanjavur,63812,61091,1990,731,01/07/2021
Theni,42367,41450,424,493,01/07/2021
Thirupathur,27587,26728,285,574,01/07/2021
Thiruvallur,111135,108556,871,1708,01/07/2021
Thiruvannamalai,49524,47811,1114,599,01/07/2021
Thiruvarur,36889,35961,596,332,01/07/2021
Thoothukudi,54401,53621,402,378,01/07/2021
Tirunelveli,47244,46456,378,410,01/07/2021
Tiruppur,82723,80294,1666,763,01/07/2021
Trichy,69473,67362,1197,914,01/07/2021
Vellore,46961,45381,526,1054,01/07/2021
Villupuram,42535,41728,477,330,01/07/2021
Virudhunagar,44604,43525,551,528,01/07/2021
AirportSurveillance(International),1005,1002,2,1,01/07/2021
AirportSurveillance(Domestic),1075,1074,0,1,01/07/2021
RailwaySurveillance,428,428,0,0,01/07/2021
Ariyalur,14965,14289,460,216,02/07/2021
Chengalpattu,157280,153145,1770,2365,02/07/2021
Chennai,532992,522083,2713,8196,02/07/2021
Coimbatore,220493,215053,3382,2058,02/07/2021
Cuddalore,58176,56472,937,767,02/07/2021
Dharmapuri,24703,23605,890,208,02/07/2021
Dindigul,31697,30736,368,593,02/07/2021
Erode,90183,85463,4123,597,02/07/2021
Kallakurichi,27292,26101,997,194,02/07/2021
