Ariyalur,14127,13384,560,183,19/06/2021
Chengalpattu,153794,149743,1748,2303,19/06/2021
Chennai,528768,518474,2262,8032,19/06/2021
Coimbatore,211588,198526,11191,1871,19/06/2021
Cuddalore,56339,53614,2011,714,19/06/2021
Dharmapuri,23294,21662,1446,186,19/06/2021
Dindigul,30986,29639,786,561,19/06/2021
Erode,82794,73335,8928,531,19/06/2021
Kallakurichi,25677,23898,1592,187,19/06/2021
Kancheepuram,69210,67246,817,1147,19/06/2021
Kanyakumari,57804,53905,2955,944,19/06/2021
Karur,21283,20108,844,331,19/06/2021
Krishnagiri,38389,36474,1633,282,19/06/2021
Madurai,71142,68846,1233,1063,19/06/2021
Nagapattinam,36958,34770,1707,481,19/06/2021
Namakkal,42085,39266,2450,369,19/06/2021
Nilgiris,26983,24683,2157,143,19/06/2021
Perambalur,10702,10121,401,180,19/06/2021
Pudukottai,26107,24944,878,285,19/06/2021
Ramanathapuram,19252,18276,653,323,19/06/2021
Ranipet,39842,37994,1194,654,19/06/2021
Salem,83297,77147,4795,1355,19/06/2021
Sivagangai,16842,15752,905,185,19/06/2021
Tenkasi,26154,24773,932,449,19/06/2021
Thanjavur,60411,56385,3357,669,19/06/2021
Theni,41609,39834,1302,473,19/06/2021
Thirupathur,27042,25887,628,527,19/06/2021
Thiruvallur,109287,106521,1118,1648,19/06/2021
Thiruvannamalai,47491,45594,1342,555,19/06/2021
Thiruvarur,35961,34429,1228,304,19/06/2021
Thoothukudi,53436,51165,1906,365,19/06/2021
Tirunelveli,47059,45626,1029,404,19/06/2021
Tiruppur,78243,71049,6506,688,19/06/2021
Trichy,66876,63091,2952,833,19/06/2021
Vellore,46197,45015,225,957,19/06/2021
Villupuram,41504,39549,1634,321,19/06/2021
Virudhunagar,43639,41657,1472,510,19/06/2021
AirportSurveillance(International),1005,1001,3,1,19/06/2021
AirportSurveillance(Domestic),1075,1074,0,1,19/06/2021
RailwaySurveillance,428,428,0,0,19/06/2021
Ariyalur,11806,9361,2320,125,02/06/2021
Chengalpattu,142715,131409,9382,1924,02/06/2021
Coimbatore,176910,136453,39112,1345,02/06/2021
Cuddalore,49870,43352,5977,541,02/06/2021
Dharmapuri,19290,16154,3005,131,02/06/2021
Dindigul,27630,24060,3150,420,02/06/2021
