Ariyalur,4741,4677,15,49,01/03/2021
Chengalpattu,52819,51702,335,782,01/03/2021
Chennai,235721,229783,1783,4155,01/03/2021
Coimbatore,55799,54737,379,683,01/03/2021
Cuddalore,25173,24832,53,288,01/03/2021
Dharmapuri,6656,6588,13,55,01/03/2021
Dindigul,11492,11234,58,200,01/03/2021
Erode,14802,14558,94,150,01/03/2021
Kallakurichi,10907,10796,3,108,01/03/2021
Kancheepuram,29551,29032,71,448,01/03/2021
Kanyakumari,17089,16780,48,261,01/03/2021
Karur,5506,5435,20,51,01/03/2021
Krishnagiri,8169,8022,29,118,01/03/2021
Madurai,21249,20738,51,460,01/03/2021
Nagapattinam,8609,8440,36,133,01/03/2021
Namakkal,11810,11670,29,111,01/03/2021
Nilgiris,8359,8250,61,48,01/03/2021
Perambalur,2284,2260,3,21,01/03/2021
Pudukottai,11657,11481,19,157,01/03/2021
Ramanathapuram,6475,6325,13,137,01/03/2021
Ranipet,16242,16032,21,189,01/03/2021
Salem,32755,32220,68,467,01/03/2021
Sivagangai,6791,6621,44,126,01/03/2021
Tenkasi,8550,8350,41,159,01/03/2021
Thanjavur,18126,17752,118,256,01/03/2021
Theni,17162,16940,15,207,01/03/2021
Thirupathur,7636,7501,9,126,01/03/2021
Thiruvallur,44237,43370,168,699,01/03/2021
Thiruvannamalai,19499,19184,31,284,01/03/2021
Thiruvarur,11358,11209,38,111,01/03/2021
Thoothukudi,16359,16196,20,143,01/03/2021
Tirunelveli,15737,15471,52,214,01/03/2021
Tiruppur,18361,18021,116,224,01/03/2021
Trichy,14984,14754,47,183,01/03/2021
Vellore,20995,20590,54,351,01/03/2021
Villupuram,15268,15132,23,113,01/03/2021
Virudhunagar,16667,16418,17,232,01/03/2021
AirportSurveillance(International),950,939,10,1,01/03/2021
AirportSurveillance(Domestic),1043,1038,4,1,01/03/2021
RailwaySurveillance,428,428,0,0,01/03/2021
Ariyalur,4742,4679,14,49,02/03/2021
Chengalpattu,52852,51758,312,782,02/03/2021
Chennai,235888,229961,1771,4156,02/03/2021
Coimbatore,55838,54776,379,683,02/03/2021
Cuddalore,25184,24841,55,288,02/03/2021
Dharmapuri,6658,6591,12,55,02/03/2021
Dindigul,11498,11238,60,200,02/03/2021
