Ariyalur,5635,5238,344,53,01-05-2021
Chengalpattu,81477,72353,8170,954,01-05-2021
Chennai,339797,303531,31475,4791,01-05-2021
Coimbatore,79669,71658,7288,723,01-05-2021
Cuddalore,30474,28439,1706,329,01-05-2021
Dharmapuri,9668,8369,1234,65,01-05-2021
Dindigul,16017,14225,1578,214,01-05-2021
Erode,21617,18237,3214,166,01-05-2021
Kallakurichi,12694,11679,904,111,01-05-2021
Kancheepuram,38359,34995,2823,541,01-05-2021
Kanyakumari,21891,19890,1695,306,01-05-2021
Karur,7741,6686,997,58,01-05-2021
Krishnagiri,14944,11666,3149,129,01-05-2021
Madurai,31519,26757,4245,517,01-05-2021
Nagapattinam,13655,11794,1693,168,01-05-2021
Namakkal,16241,14284,1835,122,01-05-2021
Nilgiris,9910,9441,418,51,01-05-2021
Perambalur,2672,2443,205,24,01-05-2021
Pudukottai,13882,12858,861,163,01-05-2021
Ramanathapuram,8622,7301,1175,146,01-05-2021
Ranipet,20921,18638,2071,212,01-05-2021
Salem,41966,38010,3422,534,01-05-2021
Sivagangai,8677,7817,727,133,01-05-2021
Tenkasi,12074,10468,1428,178,01-05-2021
Thanjavur,26022,23394,2322,306,01-05-2021
Theni,20560,18586,1759,215,01-05-2021
Thirupathur,10204,9018,1038,148,01-05-2021
Thiruvallur,60371,54179,5385,807,01-05-2021
Thiruvannamalai,24024,21907,1813,304,01-05-2021
Thiruvarur,15408,14200,1085,123,01-05-2021
Thoothukudi,24045,20090,3800,155,01-05-2021
Tirunelveli,25416,20209,4967,240,01-05-2021
Tiruppur,26850,23443,3168,239,01-05-2021
Trichy,23897,20620,3061,216,01-05-2021
Vellore,27294,24420,2488,386,01-05-2021
Villupuram,19290,17137,2030,123,01-05-2021
Virudhunagar,20340,18274,1825,241,01-05-2021
AirportSurveillance(International),1000,997,2,1,01-05-2021
AirportSurveillance(Domestic),1073,1067,5,1,01-05-2021
RailwaySurveillance,428,428,0,0,01-05-2021
Ariyalur,5696,5295,348,53,02-05-2021
Chengalpattu,83039,73203,8866,970,02-05-2021
Chennai,345966,309233,31913,4820,02-05-2021
Coimbatore,81118,72709,7683,726,02-05-2021
Cuddalore,30844,28695,1820,329,02-05-2021
Dharmapuri,9838,8518,1253,67,02-05-2021
Dindigul,16281,14469,1598,214,02-05-2021
Erode,22165,18675,3323,167,02-05-2021
Kallakurichi,12770,11788,870,112,02-05-2021
Kancheepuram,38822,35543,2725,554,02-05-2021
Kanyakumari,22210,20144,1754,312,02-05-2021
Karur,7983,6859,1065,59,02-05-2021
Krishnagiri,15448,12106,3211,131,02-05-2021
Madurai,32398,27392,4482,524,02-05-2021
Nagapattinam,13819,11999,1650,170,02-05-2021
Namakkal,16549,14492,1933,124,02-05-2021
Nilgiris,9996,9529,416,51,02-05-2021
Perambalur,2702,2462,213,27,02-05-2021
Pudukottai,14047,12987,897,163,02-05-2021
Ramanathapuram,8799,7422,1231,146,02-05-2021
Ranipet,21335,18889,2229,217,02-05-2021
Salem,42555,38538,3471,546,02-05-2021
Sivagangai,8801,7903,764,134,02-05-2021
Tenkasi,12261,10729,1348,184,02-05-2021
Thanjavur,26285,23757,2221,307,02-05-2021
Theni,20951,18794,1940,217,02-05-2021
Thirupathur,10371,9123,1097,151,02-05-2021
Thiruvallur,61385,55036,5534,815,02-05-2021
Thiruvannamalai,24210,22289,1615,306,02-05-2021
Thiruvarur,15576,14347,1106,123,02-05-2021
Thoothukudi,24728,20545,4027,156,02-05-2021
Tirunelveli,26002,20803,4956,243,02-05-2021
Tiruppur,27230,23855,3134,241,02-05-2021
Trichy,24405,20988,3193,224,02-05-2021
Vellore,27802,24783,2624,395,02-05-2021
Villupuram,19642,17370,2149,123,02-05-2021
Virudhunagar,20581,18560,1778,243,02-05-2021
AirportSurveillance(International),1001,997,3,1,02-05-2021
AirportSurveillance(Domestic),1073,1068,4,1,02-05-2021
RailwaySurveillance,428,428,0,0,02-05-2021
Ariyalur,5736,5354,329,53,03-05-2021
Chengalpattu,84638,74405,9257,976,03-05-2021
Chennai,352260,314617,32785,4858,03-05-2021
Coimbatore,82689,73772,8188,729,03-05-2021
Cuddalore,31225,28935,1961,329,03-05-2021
Dharmapuri,10009,8669,1273,67,03-05-2021
Dindigul,16481,14663,1603,215,03-05-2021
Erode,22817,19231,3419,167,03-05-2021
Kallakurichi,12898,12060,725,113,03-05-2021
Kancheepuram,39615,36025,3026,564,03-05-2021
Kanyakumari,22598,20449,1832,317,03-05-2021
Karur,8217,6977,1181,59,03-05-2021
Krishnagiri,15892,12642,3118,132,03-05-2021
Madurai,32883,27899,4444,540,03-05-2021
Nagapattinam,14055,12212,1669,174,03-05-2021
Namakkal,16903,14763,2015,125,03-05-2021
Nilgiris,10101,9623,427,51,03-05-2021
Perambalur,2741,2491,222,28,03-05-2021
Pudukottai,14156,13139,854,163,03-05-2021
Ramanathapuram,8996,7623,1227,146,03-05-2021
Ranipet,21727,19144,2364,219,03-05-2021
Salem,43167,38980,3638,549,03-05-2021
Sivagangai,8928,8058,734,136,03-05-2021
Tenkasi,12392,11000,1208,184,03-05-2021
Thanjavur,26609,24109,2191,309,03-05-2021
Theni,21202,18963,2022,217,03-05-2021
Thirupathur,10478,9266,1060,152,03-05-2021
Thiruvallur,62504,55712,5973,819,03-05-2021
Thiruvannamalai,24421,22628,1486,307,03-05-2021
Thiruvarur,15774,14427,1222,125,03-05-2021
Thoothukudi,25437,21267,4013,157,03-05-2021
Tirunelveli,26405,21516,4641,248,03-05-2021
Tiruppur,27716,24374,3100,242,03-05-2021
Trichy,25065,21389,3448,228,03-05-2021
Vellore,28061,25090,2573,398,03-05-2021
Villupuram,20038,17579,2334,125,03-05-2021
Virudhunagar,20727,18792,1690,245,03-05-2021
AirportSurveillance(International),1001,997,3,1,03-05-2021
AirportSurveillance(Domestic),1074,1070,3,1,03-05-2021
RailwaySurveillance,428,428,0,0,03-05-2021
Ariyalur,5772,5378,341,53,04-05-2021
Chengalpattu,86265,75621,9663,981,04-05-2021
Chennai,358573,320457,33222,4894,04-05-2021
Coimbatore,84206,74877,8596,733,04-05-2021
Cuddalore,31525,29188,2001,336,04-05-2021
Dharmapuri,10268,8850,1351,67,04-05-2021
Dindigul,16648,14843,1588,217,04-05-2021
Erode,23388,19802,3419,167,04-05-2021
Kallakurichi,13037,12197,726,114,04-05-2021
Kancheepuram,40163,36566,3025,572,04-05-2021
Kanyakumari,23125,20771,2034,320,04-05-2021
Karur,8485,7073,1350,62,04-05-2021
Krishnagiri,16200,13192,2875,133,04-05-2021
Madurai,33669,28539,4585,545,04-05-2021
Nagapattinam,14444,12565,1703,176,04-05-2021
Namakkal,17232,15002,2105,125,04-05-2021
