Ariyalur,16858,16550,47,261,01/11/2021
Chengalpattu,171862,168425,927,2510,01/11/2021
Chennai,554778,544838,1391,8549,01/11/2021
Coimbatore,246897,243201,1277,2419,01/11/2021
Cuddalore,64101,63021,213,867,01/11/2021
Dharmapuri,28441,27975,191,275,01/11/2021
Dindigul,33102,32361,96,645,01/11/2021
Erode,104374,102925,763,686,01/11/2021
Kallakurichi,31377,31075,92,210,01/11/2021
Kancheepuram,74999,73418,323,1258,01/11/2021
Kanyakumari,62382,61126,207,1049,01/11/2021
Karur,24114,23541,217,356,01/11/2021
Krishnagiri,43586,43052,186,348,01/11/2021
Madurai,75227,73876,178,1173,01/11/2021
Mayiladuthurai,23280,22890,74,316,01/11/2021
Nagapattinam,21086,20578,162,346,01/11/2021
Namakkal,52290,51301,491,498,01/11/2021
Nilgiris,33585,33186,187,212,01/11/2021
Perambalur,12067,11793,31,243,01/11/2021
Pudukottai,30194,29640,138,416,01/11/2021
Ramanathapuram,20570,20165,48,357,01/11/2021
Ranipet,43450,42569,106,775,01/11/2021
Salem,99950,97681,584,1685,01/11/2021
Sivagangai,20206,19869,130,207,01/11/2021
Tenkasi,27360,26839,37,484,01/11/2021
Thanjavur,75394,73925,495,974,01/11/2021
Theni,43573,43022,30,521,01/11/2021
Thirupathur,29309,28609,75,625,01/11/2021
Thiruvallur,119402,117181,379,1842,01/11/2021
Thiruvannamalai,54984,54142,175,667,01/11/2021
Thiruvarur,41484,40787,253,444,01/11/2021
Thoothukudi,56318,55770,139,409,01/11/2021
Tirunelveli,49383,48823,128,432,01/11/2021
Tiruppur,95473,93742,750,981,01/11/2021
Trichy,77569,76079,431,1059,01/11/2021
Vellore,49883,48572,180,1131,01/11/2021
Villupuram,45866,45392,118,356,01/11/2021
Virudhunagar,46298,45693,57,548,01/11/2021
AirportSurveillance(International),1028,1025,2,1,01/11/2021
AirportSurveillance(Domestic),1085,1083,1,1,01/11/2021
RailwaySurveillance,428,428,0,0,01/11/2021
Ariyalur,16861,16554,46,261,02/11/2021
Chengalpattu,171949,168519,918,2512,02/11/2021
Chennai,554881,544973,1354,8554,02/11/2021
Coimbatore,247011,243330,1261,2420,02/11/2021
Cuddalore,64116,63042,207,867,02/11/2021
Dharmapuri,28454,27995,184,275,02/11/2021
Dindigul,33107,32370,91,646,02/11/2021
Erode,104441,103007,747,687,02/11/2021
Kallakurichi,31389,31085,94,210,02/11/2021
Kancheepuram,75031,73444,329,1258,02/11/2021
Kanyakumari,62401,61145,207,1049,02/11/2021
Karur,24137,23558,222,357,02/11/2021
Krishnagiri,43602,43065,189,348,02/11/2021
Madurai,75237,73904,160,1173,02/11/2021
Mayiladuthurai,23286,22905,65,316,02/11/2021
Nagapattinam,21095,20589,159,347,02/11/2021
Namakkal,52335,51353,482,500,02/11/2021
Nilgiris,33607,33204,191,212,02/11/2021
Perambalur,12068,11795,30,243,02/11/2021
Pudukottai,30202,29656,130,416,02/11/2021
Ramanathapuram,20573,20173,42,358,02/11/2021
Ranipet,43458,42581,102,775,02/11/2021
Salem,100013,97739,589,1685,02/11/2021
Sivagangai,20221,19883,131,207,02/11/2021
Tenkasi,27362,26845,32,485,02/11/2021
Thanjavur,75432,73973,483,976,02/11/2021
Theni,43577,43025,31,521,02/11/2021
Thirupathur,29317,28616,76,625,02/11/2021
Thiruvallur,119433,117221,370,1842,02/11/2021
Thiruvannamalai,55003,54157,179,667,02/11/2021
Thiruvarur,41503,40811,248,444,02/11/2021
Thoothukudi,56327,55786,132,409,02/11/2021
Tirunelveli,49395,48833,129,433,02/11/2021
Tiruppur,95540,93809,750,981,02/11/2021
Trichy,77602,76118,424,1060,02/11/2021
Vellore,49901,48581,188,1132,02/11/2021
Villupuram,45877,45404,117,356,02/11/2021
Virudhunagar,46301,45698,55,548,02/11/2021
AirportSurveillance(International),1028,1025,2,1,02/11/2021
AirportSurveillance(Domestic),1085,1083,1,1,02/11/2021
RailwaySurveillance,428,428,0,0,02/11/2021
Ariyalur,16866,16557,48,261,03/11/2021
Chengalpattu,172033,168608,913,2512,03/11/2021
Chennai,554981,545100,1324,8557,03/11/2021
Coimbatore,247121,243455,1246,2420,03/11/2021
Cuddalore,64135,63064,204,867,03/11/2021
Dharmapuri,28471,28020,175,276,03/11/2021
Dindigul,33110,32381,82,647,03/11/2021
Erode,104506,103085,734,687,03/11/2021
Kallakurichi,31400,31093,97,210,03/11/2021
Kancheepuram,75059,73468,333,1258,03/11/2021
Kanyakumari,62419,61166,203,1050,03/11/2021
Karur,24161,23577,227,357,03/11/2021
Krishnagiri,43618,43075,194,349,03/11/2021
Madurai,75247,73921,151,1175,03/11/2021
Mayiladuthurai,23290,22917,57,316,03/11/2021
Nagapattinam,21106,20603,154,349,03/11/2021
Namakkal,52386,51410,475,501,03/11/2021
Nilgiris,33628,33220,195,213,03/11/2021
Perambalur,12072,11796,32,244,03/11/2021
Pudukottai,30209,29671,122,416,03/11/2021
