Ariyalur,16374,15970,157,247,02/09/2021
Chengalpattu,165592,162095,1065,2432,02/09/2021
Chennai,544489,534351,1734,8404,02/09/2021
Coimbatore,236481,232124,2084,2273,02/09/2021
Cuddalore,62373,61042,492,839,02/09/2021
Dharmapuri,26901,26415,240,246,02/09/2021
Dindigul,32498,31771,96,631,02/09/2021
Erode,98677,96662,1358,657,02/09/2021
Kallakurichi,30148,29659,289,200,02/09/2021
Kancheepuram,72915,71317,367,1231,02/09/2021
Kanyakumari,61040,59720,287,1033,02/09/2021
Karur,23136,22636,148,352,02/09/2021
Krishnagiri,42116,41581,204,331,02/09/2021
Madurai,74025,72721,149,1155,02/09/2021
Mayiladuthurai,21956,21417,258,281,02/09/2021
Nagapattinam,19732,19074,353,305,02/09/2021
Namakkal,48942,47961,509,472,02/09/2021
Nilgiris,31807,31290,322,195,02/09/2021
Perambalur,11721,11420,71,230,02/09/2021
Pudukottai,29153,28498,265,390,02/09/2021
Ramanathapuram,20198,19803,43,352,02/09/2021
Ranipet,42590,41649,186,755,02/09/2021
Salem,96249,93865,751,1633,02/09/2021
Sivagangai,19407,18996,210,201,02/09/2021
Tenkasi,27112,26516,112,484,02/09/2021
Thanjavur,71037,69262,885,890,02/09/2021
Theni,43212,42618,79,515,02/09/2021
Thirupathur,28613,27872,127,614,02/09/2021
Thiruvallur,115945,113460,697,1788,02/09/2021
Thiruvannamalai,53430,52415,363,652,02/09/2021
Thiruvarur,39091,38342,355,394,02/09/2021
Thoothukudi,55507,54986,121,400,02/09/2021
Tirunelveli,48468,47900,138,430,02/09/2021
Tiruppur,90470,88794,744,932,02/09/2021
Trichy,74490,72936,545,1009,02/09/2021
Vellore,48892,47490,291,1111,02/09/2021
Villupuram,44860,44197,312,351,02/09/2021
Virudhunagar,45763,45155,64,544,02/09/2021
AirportSurveillance(International),1023,1017,5,1,02/09/2021
AirportSurveillance(Domestic),1082,1079,2,1,02/09/2021
RailwaySurveillance,428,428,0,0,02/09/2021
Ariyalur,16383,15981,154,248,03/09/2021
Chengalpattu,165678,162209,1037,2432,03/09/2021
Chennai,544648,534523,1720,8405,03/09/2021
Coimbatore,236721,232311,2134,2276,03/09/2021
Cuddalore,62429,61099,491,839,03/09/2021
Dharmapuri,26923,26438,239,246,03/09/2021
Dindigul,32505,31779,95,631,03/09/2021
Erode,98787,96810,1319,658,03/09/2021
Kallakurichi,30171,29674,296,201,03/09/2021
Kancheepuram,72953,71358,364,1231,03/09/2021
Kanyakumari,61059,59737,288,1034,03/09/2021
Karur,23143,22645,146,352,03/09/2021
Krishnagiri,42135,41591,213,331,03/09/2021
Madurai,74035,72734,146,1155,03/09/2021
Mayiladuthurai,22002,21438,283,281,03/09/2021
Nagapattinam,19739,19117,317,305,03/09/2021
Namakkal,49020,48014,533,473,03/09/2021
Nilgiris,31834,31324,315,195,03/09/2021
Perambalur,11729,11424,75,230,03/09/2021
Pudukottai,29174,28520,263,391,03/09/2021
Ramanathapuram,20201,19806,43,352,03/09/2021
Ranipet,42601,41674,171,756,03/09/2021
Salem,96308,93967,707,1634,03/09/2021
Sivagangai,19418,19020,197,201,03/09/2021
Tenkasi,27117,26522,111,484,03/09/2021
Thanjavur,71134,69391,852,891,03/09/2021
Theni,43221,42625,81,515,03/09/2021
Thirupathur,28622,27878,130,614,03/09/2021
Thiruvallur,116011,113511,708,1792,03/09/2021
Thiruvannamalai,53468,52451,363,654,03/09/2021
Thiruvarur,39127,38374,359,394,03/09/2021
Thoothukudi,55522,54994,128,400,03/09/2021
Tirunelveli,48482,47912,140,430,03/09/2021
Tiruppur,90570,88882,756,932,03/09/2021
Trichy,74552,72998,545,1009,03/09/2021
Vellore,48903,47521,271,1111,03/09/2021
Villupuram,44887,44223,313,351,03/09/2021
Virudhunagar,45766,45160,62,544,03/09/2021
AirportSurveillance(International),1023,1018,4,1,03/09/2021
AirportSurveillance(Domestic),1082,1080,1,1,03/09/2021
RailwaySurveillance,428,428,0,0,03/09/2021
Ariyalur,16397,15994,154,249,04/09/2021
Chengalpattu,165777,162307,1037,2433,04/09/2021
Chennai,544815,534680,1727,8408,04/09/2021
Coimbatore,236965,232505,2180,2280,04/09/2021
Cuddalore,62483,61162,482,839,04/09/2021
Dharmapuri,26944,26464,234,246,04/09/2021
Dindigul,32517,31786,100,631,04/09/2021
Erode,98896,96944,1292,660,04/09/2021
Kallakurichi,30191,29698,292,201,04/09/2021
Kancheepuram,72987,71395,361,1231,04/09/2021
Kanyakumari,61083,59759,290,1034,04/09/2021
Karur,23163,22656,155,352,04/09/2021
Krishnagiri,42147,41604,212,331,04/09/2021
Madurai,74050,72750,145,1155,04/09/2021
Mayiladuthurai,22029,21462,285,282,04/09/2021
Nagapattinam,19768,19152,311,305,04/09/2021
Namakkal,49085,48072,540,473,04/09/2021
Nilgiris,31862,31353,314,195,04/09/2021
Perambalur,11734,11429,75,230,04/09/2021
Pudukottai,29194,28539,263,392,04/09/2021
Ramanathapuram,20205,19810,43,352,04/09/2021
Ranipet,42614,41697,161,756,04/09/2021
Salem,96367,94055,676,1636,04/09/2021
Sivagangai,19440,19041,198,201,04/09/2021
Tenkasi,27120,26527,109,484,04/09/2021
Thanjavur,71226,69505,830,891,04/09/2021
Theni,43229,42634,80,515,04/09/2021
Thirupathur,28626,27890,122,614,04/09/2021
Thiruvallur,116090,113564,732,1794,04/09/2021
Thiruvannamalai,53496,52485,357,654,04/09/2021
Thiruvarur,39163,38410,359,394,04/09/2021
Thoothukudi,55531,55004,127,400,04/09/2021
Tirunelveli,48492,47926,136,430,04/09/2021
Tiruppur,90657,88973,752,932,04/09/2021
Trichy,74599,73045,542,1012,04/09/2021
Vellore,48919,47549,259,1111,04/09/2021
Villupuram,44914,44253,310,351,04/09/2021
Virudhunagar,45778,45166,68,544,04/09/2021
AirportSurveillance(International),1023,1018,4,1,04/09/2021
AirportSurveillance(Domestic),1082,1080,1,1,04/09/2021
RailwaySurveillance,428,428,0,0,04/09/2021
Ariyalur,16414,16009,155,250,05/09/2021
Chengalpattu,165904,162391,1080,2433,05/09/2021
Chennai,544983,534828,1745,8410,05/09/2021
Coimbatore,237203,232712,2211,2280,05/09/2021
Cuddalore,62520,61218,462,840,05/09/2021
Dharmapuri,26964,26485,231,248,05/09/2021
Dindigul,32524,31799,93,632,05/09/2021
Erode,98995,97068,1267,660,05/09/2021
Kallakurichi,30212,29736,275,201,05/09/2021
Kancheepuram,73021,71425,366,1230,05/09/2021
Kanyakumari,61099,59787,277,1035,05/09/2021
Karur,23176,22670,154,352,05/09/2021
Krishnagiri,42166,41622,213,331,05/09/2021
Madurai,74069,72769,143,1157,05/09/2021
Mayiladuthurai,22087,21493,312,282,05/09/2021
Nagapattinam,19796,19176,315,305,05/09/2021
Namakkal,49150,48126,550,474,05/09/2021
Nilgiris,31891,31389,307,195,05/09/2021
Perambalur,11742,11435,77,230,05/09/2021
Pudukottai,29218,28562,262,394,05/09/2021
Ramanathapuram,20212,19815,45,352,05/09/2021
Ranipet,42632,41714,162,756,05/09/2021
Salem,96423,94152,635,1636,05/09/2021
Sivagangai,19454,19065,188,201,05/09/2021
Tenkasi,27129,26534,111,484,05/09/2021
Thanjavur,71290,69607,790,893,05/09/2021
Theni,43237,42647,75,515,05/09/2021
Thirupathur,28634,27900,120,614,05/09/2021
Thiruvallur,116169,113622,752,1795,05/09/2021
Thiruvannamalai,53531,52521,354,656,05/09/2021
Thiruvarur,39202,38442,366,394,05/09/2021
Thoothukudi,55542,55016,126,400,05/09/2021
Tirunelveli,48505,47935,140,430,05/09/2021
Tiruppur,90741,89055,754,932,05/09/2021
Trichy,74657,73084,560,1013,05/09/2021
Vellore,48928,47584,233,1111,05/09/2021
Villupuram,44937,44286,300,351,05/09/2021
Virudhunagar,45788,45173,71,544,05/09/2021
AirportSurveillance(International),1023,1018,4,1,05/09/2021
AirportSurveillance(Domestic),1082,1080,1,1,05/09/2021
RailwaySurveillance,428,428,0,0,05/09/2021
Ariyalur,16431,16021,160,250,06/09/2021
Chengalpattu,166017,162488,1094,2435,06/09/2021
Chennai,545158,534973,1772,8413,06/09/2021
Coimbatore,237410,232931,2198,2281,06/09/2021
Cuddalore,62561,61272,448,841,06/09/2021
Dharmapuri,26982,26503,231,248,06/09/2021
Dindigul,32534,31810,92,632,06/09/2021
Erode,99085,97186,1238,661,06/09/2021
Kallakurichi,30239,29778,260,201,06/09/2021
Kancheepuram,73053,71453,370,1230,06/09/2021
Kanyakumari,61119,59809,274,1036,06/09/2021
Karur,23194,22683,159,352,06/09/2021
Krishnagiri,42183,41646,205,332,06/09/2021
Madurai,74089,72784,148,1157,06/09/2021
Mayiladuthurai,22119,21522,314,283,06/09/2021
Nagapattinam,19820,19201,314,305,06/09/2021
Namakkal,49211,48178,558,475,06/09/2021
Nilgiris,31924,31420,309,195,06/09/2021
Perambalur,11753,11442,81,230,06/09/2021
Pudukottai,29237,28583,260,394,06/09/2021
Ramanathapuram,20221,19821,48,352,06/09/2021
Ranipet,42651,41733,162,756,06/09/2021
Salem,96482,94236,608,1638,06/09/2021
Sivagangai,19464,19092,171,201,06/09/2021
Tenkasi,27139,26542,113,484,06/09/2021
Thanjavur,71387,69698,794,895,06/09/2021
Theni,43240,42656,69,515,06/09/2021
Thirupathur,28646,27907,125,614,06/09/2021
Thiruvallur,116236,113675,765,1796,06/09/2021
Thiruvannamalai,53566,52551,359,656,06/09/2021
Thiruvarur,39244,38475,375,394,06/09/2021
Thoothukudi,55555,55033,122,400,06/09/2021
Tirunelveli,48514,47949,135,430,06/09/2021
Tiruppur,90828,89126,769,933,06/09/2021
Trichy,74717,73115,589,1013,06/09/2021
Vellore,48938,47621,206,1111,06/09/2021
Villupuram,44959,44320,288,351,06/09/2021
Virudhunagar,45795,45183,68,544,06/09/2021
AirportSurveillance(International),1023,1018,4,1,06/09/2021
AirportSurveillance(Domestic),1082,1080,1,1,06/09/2021
RailwaySurveillance,428,428,0,0,06/09/2021
Ariyalur,16444,16038,156,250,07/09/2021
Chengalpattu,166129,162591,1100,2438,07/09/2021
Chennai,545352,535120,1816,8416,07/09/2021
Coimbatore,237629,233155,2191,2283,07/09/2021
Cuddalore,62596,61323,431,842,07/09/2021
Dharmapuri,27003,26519,236,248,07/09/2021
Dindigul,32541,31823,86,632,07/09/2021
Erode,99197,97290,1246,661,07/09/2021
Kallakurichi,30286,29817,268,201,07/09/2021
Kancheepuram,73093,71478,385,1230,07/09/2021
Kanyakumari,61141,59833,272,1036,07/09/2021
Karur,23204,22697,155,352,07/09/2021
Krishnagiri,42198,41673,193,332,07/09/2021
Madurai,74110,72798,155,1157,07/09/2021
Mayiladuthurai,22160,21559,318,283,07/09/2021
Nagapattinam,19842,19230,307,305,07/09/2021
Namakkal,49282,48233,572,477,07/09/2021
Nilgiris,31956,31454,307,195,07/09/2021
Perambalur,11763,11453,80,230,07/09/2021
Pudukottai,29259,28608,257,394,07/09/2021
Ramanathapuram,20224,19829,43,352,07/09/2021
Ranipet,42669,41754,159,756,07/09/2021
Salem,96542,94315,588,1639,07/09/2021
Sivagangai,19484,19120,163,201,07/09/2021
Tenkasi,27144,26553,107,484,07/09/2021
Thanjavur,71434,69776,763,895,07/09/2021
Theni,43244,42663,66,515,07/09/2021
Thirupathur,28654,27922,117,615,07/09/2021
Thiruvallur,116306,113736,773,1797,07/09/2021
Thiruvannamalai,53598,52584,358,656,07/09/2021
Thiruvarur,39273,38507,371,395,07/09/2021
Thoothukudi,55564,55052,112,400,07/09/2021
Tirunelveli,48525,47967,127,431,07/09/2021
Tiruppur,90900,89188,778,934,07/09/2021
Trichy,74763,73138,611,1014,07/09/2021
Vellore,48955,47649,194,1112,07/09/2021
Villupuram,44978,44355,272,351,07/09/2021
Virudhunagar,45803,45192,67,544,07/09/2021
AirportSurveillance(International),1023,1018,4,1,07/09/2021
AirportSurveillance(Domestic),1082,1080,1,1,07/09/2021
RailwaySurveillance,428,428,0,0,07/09/2021
Ariyalur,16457,16056,150,251,08/09/2021
Chengalpattu,166242,162700,1102,2440,08/09/2021
Chennai,545526,535273,1835,8418,08/09/2021
Coimbatore,237863,233386,2194,2283,08/09/2021
Cuddalore,62635,61372,420,843,08/09/2021
Dharmapuri,27022,26538,235,249,08/09/2021
Dindigul,32550,31832,86,632,08/09/2021
Erode,99312,97397,1254,661,08/09/2021
Kallakurichi,30330,29858,271,201,08/09/2021
Kancheepuram,73129,71500,398,1231,08/09/2021
Kanyakumari,61161,59858,267,1036,08/09/2021
Karur,23221,22710,159,352,08/09/2021
Krishnagiri,42234,41701,201,332,08/09/2021
