District,TotalPositive,Discharged,ActiveCases,Death,Date
Ariyalur,4637,4575,14,48,01-01-2021
Chengalpattu,50090,48764,582,744,01-01-2021
Chennai,225758,219216,2528,4014,01-01-2021
Coimbatore,52418,50966,798,654,01-01-2021
Cuddalore,24695,24277,135,283,01-01-2021
Dharmapuri,6423,6282,88,53,01-01-2021
Dindigul,10961,10610,154,197,01-01-2021
Erode,13721,13288,289,144,01-01-2021
Kallakurichi,10802,10677,17,108,01-01-2021
Kancheepuram,28732,28041,257,434,01-01-2021
Kanyakumari,16365,15969,140,256,01-01-2021
Karur,5177,5050,77,50,01-01-2021
Krishnagiri,7885,7668,101,116,01-01-2021
Madurai,20548,19939,156,453,01-01-2021
Nagapattinam,8164,7904,132,128,01-01-2021
Namakkal,11228,10933,186,109,01-01-2021
Nilgiris,7956,7794,116,46,01-01-2021
Perambalur,2257,2233,3,21,01-01-2021
Pudukottai,11412,11198,59,155,01-01-2021
Ramanathapuram,6324,6165,26,133,01-01-2021
Ranipet,15919,15680,58,181,01-01-2021
Salem,31626,30823,342,461,01-01-2021
Sivagangai,6539,6346,67,126,01-01-2021
Tenkasi,8272,8064,50,158,01-01-2021
Thanjavur,17201,16727,236,238,01-01-2021
Theni,16902,16637,61,204,01-01-2021
Thirupathur,7450,7273,52,125,01-01-2021
Thiruvallur,42682,41633,370,679,01-01-2021
Thiruvannamalai,19160,18805,73,282,01-01-2021
Thiruvarur,10942,10733,100,109,01-01-2021
Thoothukudi,16084,15861,82,141,01-01-2021
Tirunelveli,15303,14971,121,211,01-01-2021
Tiruppur,17102,16581,304,217,01-01-2021
Trichy,14203,13826,201,176,01-01-2021
Vellore,20243,19720,183,340,01-01-2021
Villupuram,15012,14791,111,110,01-01-2021
Virudhunagar,16358,16025,104,229,01-01-2021
AirportSurveillance(International),930,925,4,1,01-01-2021
AirportSurveillance(Domestic),1026,1022,3,1,01-01-2021
RailwaySurveillance,428,428,0,0,01-01-2021
Ariyalur,4633,4577,8,48,01-02-2021
Chengalpattu,50159,48840,575,744,01-02-2021
Chennai,225998,219518,2462,4018,01-02-2021
Coimbatore,52496,51063,779,654,01-02-2021
Cuddalore,24707,24292,132,283,01-02-2021
Dharmapuri,6435,6290,92,53,01-02-2021
Dindigul,10981,10631,153,197,01-02-2021
Erode,13756,13313,299,144,01-02-2021
Kallakurichi,10802,10679,15,108,01-02-2021
Kancheepuram,28762,28065,263,434,01-02-2021
Kanyakumari,16387,15980,151,256,01-02-2021
Karur,5191,5055,86,50,01-02-2021
Krishnagiri,7889,7692,81,116,01-02-2021
Madurai,20573,19959,161,453,01-02-2021
Nagapattinam,8182,7917,134,131,01-02-2021
Namakkal,11250,10951,190,109,01-02-2021
Nilgiris,7968,7807,115,46,01-02-2021
Perambalur,2258,2233,4,21,01-02-2021
Pudukottai,11419,11203,61,155,01-02-2021
Ramanathapuram,6328,6167,27,134,01-02-2021
Ranipet,15927,15691,55,181,01-02-2021
Salem,31657,30864,331,462,01-02-2021
Sivagangai,6543,6352,65,126,01-02-2021
Tenkasi,8277,8070,49,158,01-02-2021
Thanjavur,17236,16754,244,238,01-02-2021
Theni,16914,16639,71,204,01-02-2021
Thirupathur,7464,7275,64,125,01-02-2021
Thiruvallur,42728,41688,361,679,01-02-2021
Thiruvannamalai,19169,18818,69,282,01-02-2021
Thiruvarur,10948,10749,90,109,01-02-2021
Thoothukudi,16092,15867,84,141,01-02-2021
Tirunelveli,15314,14985,118,211,01-02-2021
Tiruppur,17144,16633,292,219,01-02-2021
Trichy,14221,13852,193,176,01-02-2021
Vellore,20266,19741,185,340,01-02-2021
Villupuram,15023,14804,109,110,01-02-2021
Virudhunagar,16364,16038,97,229,01-02-2021
AirportSurveillance(International),930,925,4,1,01-02-2021
AirportSurveillance(Domestic),1026,1022,3,1,01-02-2021
RailwaySurveillance,428,428,0,0,01-02-2021
Ariyalur,4633,4580,5,48,01-03-2021
